movie,genres,directors,writers,production_budget,domestic_gross,worldwide_gross,tconst
Cube,"Biography,Documentary",nm5770452,nm5770452,250000,489220,8969065,tt3020324
Diane,"Crime,Drama,Horror",nm1231248,"nm6062383,nm1231248",2660000,0,0,tt3021984
The Journey,"Adventure,Drama,Mystery",nm5786481,nm5786481,500000,19800,19800,tt3025936
Eden,"Drama,Thriller",nm4357206,"nm2429222,nm1676649",2300000,0,0,tt3032282
The Jungle Book,"Adventure,Drama,Family",nm0269463,"nm1098479,nm0456017",175000000,364001123,962854547,tt3040964
The Jungle Book,"Adventure,Drama,Family",nm0269463,"nm1098479,nm0456017",27000000,44342956,44342956,tt3040964
Brothers,Action,nm4201841,nm4201841,26000000,28544157,45043870,tt3042592
Brothers,Action,nm4201841,nm4201841,13000000,656688,17856688,tt3042592
The Vatican Exorcisms,Horror,nm1162230,"nm5793432,nm2568846",1100000,0,0,tt3043194
Mortdecai,"Action,Comedy,Crime",nm0462895,"nm0036962,nm5795768",60000000,7696134,30396134,tt3045616
Miracle,Drama,nm5796326,Missing writer data,28000000,64378093,64474705,tt3045930
Redemption,"Drama,Music,Thriller",nm1770353,nm1770353,23000000,36686,13593473,tt3059814
Dragonfly,"Action,Adventure,Sci-Fi",nm5806934,"nm5806937,nm5806934",60000000,30063805,30063805,tt3060772
Inferno,"Action,Adventure,Crime",nm0000165,"nm1467010,nm0462895",75000000,34343574,219519367,tt3062096
Grace,"Horror,Thriller",nm3728712,"nm3728712,nm2425790,nm2368613",5000000,8297,8297,tt3068192
Unstoppable,Documentary,nm0229544,nm0131647,95000000,81562942,165720921,tt3070502
Hardcore Henry,"Action,Adventure,Sci-Fi",nm5820154,"nm5820154,nm0829901",2000000,9252038,17187434,tt3072482
The Past is a Grotesque Animal,"Biography,Documentary,Music",nm3316323,"nm3316323,nm3598310",100000,20056,20056,tt3072636
Detention,Drama,"nm0828718,nm1768419","nm5821744,nm0828718",10000000,0,0,tt3073168
Creed,"Drama,Sport",nm3363032,"nm3363032,nm2128400,nm0000230",37000000,109767581,173567581,tt3076658
Suffragette,"Biography,Drama,History",nm0310673,nm0604448,14000000,4702420,34044909,tt3077214
Rocky,"Action,Comedy,Drama",nm1126847,Missing writer data,1000000,117235147,225000000,tt3080284
Phantom,Drama,nm4717106,nm4717106,18000000,1034589,1199510,tt3088580
Forget Me Not,"Comedy,Drama,Family",nm5839568,nm5839568,1300000,0,13465,tt3089954
Eden,"Biography,Drama,Music",nm0361135,"nm0361135,nm2697872",2300000,0,0,tt3090634
Monster Trucks,"Action,Adventure,Comedy",nm0917188,"nm2081046,nm2816668,nm0008743,nm0074184",125000000,33370166,61642798,tt3095734
The Hammer,"Action,Adventure,Documentary",nm4418339,Missing writer data,850000,442638,442638,tt3096900
Tusk,"Comedy,Drama,Horror",nm0003620,nm0003620,3000000,1821983,1887554,tt3099498
Barfi,"Comedy,Romance",nm5852684,nm5852684,4600000,2804874,36751984,tt3099638
The Masked Saint,"Action,Biography,Crime",nm1284464,"nm2027904,nm1616666,nm2329814",3500000,182695,182695,tt3103166
Redemption,"Family,Horror,Romance",nm5857651,"nm0514936,nm5857651",23000000,36686,13593473,tt3104228
On the Line,Documentary,nm4141664,Missing writer data,10000000,4365455,4690802,tt3104438
Da Sweet Blood of Jesus,"Comedy,Romance,Thriller",nm0000490,"nm0000490,nm0348155,nm1280085",1250000,0,0,tt3104930
Crazy Rich Asians,"Comedy,Romance",nm0160840,"nm1095804,nm1004604,nm5858664",30000000,174532921,238099711,tt3104988
Hybrid,"Documentary,Sport",nm1142058,nm1142058,200000,162605,162605,tt3105014
The Glass House,"Drama,Thriller",nm4099421,nm4099421,22000000,17951431,22861785,tt3106750
Rambo,"Comedy,Drama,Thriller","nm5736200,nm5862289",Missing writer data,47500000,42754105,112214531,tt3107798
Por amor en el caserio,"Action,Drama,Romance",nm1698289,nm5862408,1000000,0,0,tt3107890
Payback,"Action,Comedy,Drama",nm0602403,"nm5055462,nm0602403",50000000,81526121,161626121,tt3108662
Road Hard,Comedy,"nm0004805,nm0376247","nm0004805,nm0376247",1500000,113169,113169,tt3110770
Now You See Me 2,"Action,Adventure,Comedy",nm0160840,"nm0004412,nm1095804,nm0945026,nm3242689",90000000,65075540,328325007,tt3110958
Bad Company,Action,nm1384445,nm1384445,70000000,30157016,69157016,tt3111306
Sunday,Drama,"nm5866918,nm3202282",nm3202282,450000,410919,450349,tt3111734
8 Days,"Drama,Thriller",nm2670525,"nm4433954,nm5752847",2500000,0,0,tt3111864
Circle,"Drama,Mystery,Sci-Fi","nm5278427,nm5278146","nm5278146,nm5278427",2000000,10024,10024,tt3118452
Paraphobia,"Comedy,Horror,Thriller",nm3060795,nm3060795,30000,0,0,tt3123250
Beyond the Lights,"Drama,Music,Romance",nm0697656,nm0697656,7000000,14618727,14618727,tt3125324
Coming Home,"Drama,Romance",nm0955443,"nm0945802,nm1802940",3000000,32653000,32653000,tt3125472
Bucky and the Squirrels,Comedy,nm0441630,nm0441630,500000,0,0,tt3126876
Light from the Darkroom,"Action,Drama,Thriller",nm1590373,"nm1936821,nm0718031,nm0740330",600000,0,0,tt3130704
Unsullied,"Action,Horror,Thriller",nm1711754,"nm2117700,nm1711754",1500000,510957,510957,tt3139764
Circle,Drama,nm3333062,nm3333062,2000000,10024,10024,tt3142140
The Journey,"Comedy,Drama,Family",nm4691188,nm4691290,500000,19800,19800,tt3144678
Hits,"Comedy,Drama",nm0189144,nm0189144,1000000,15156,15156,tt3145220
Thunder and the House of Magic,"Adventure,Animation,Comedy","nm0562775,nm0214857,nm0823721","nm0823721,nm1401010,nm0661549",34000000,4091,62582520,tt3148834
The Circle,"Biography,Drama,Romance",nm0369442,"nm0369442,nm2789152,nm2319441,nm2497348",18000000,20497844,40651864,tt3148952
Lucky Dog,Family,nm0006395,nm0006395,2000000,0,0,tt3149360
The Hunted,"Horror,Mystery,Thriller",nm1577637,nm1577637,55000000,34234008,47213095,tt3149900
Kingdom Come,"Drama,Thriller",nm3069588,"nm3069588,nm3593320,nm4093769",7000000,23247539,23393939,tt3151724
Fight to the Finish,"Action,Romance,Sport",nm1969810,nm1969810,500000,0,0,tt3152288
Trainwreck,"Comedy,Drama,Romance",nm0031976,nm2154960,35000000,110212700,141123897,tt3152624
Geograf globus propil,"Adventure,Drama,Romance",nm1533334,"nm3397590,nm1195196,nm0865422,nm1533334",4000000,0,4454853,tt3155604
Hide and Seek,"Action,Horror,Mystery",nm5913711,nm5913711,25000000,51100486,123696741,tt3155654
Life of the Party,Comedy,nm5914858,"nm3214019,nm4677485",30000000,53059911,65759911,tt3156890
Dawn of the Crescent Moon,"Drama,Sci-Fi,Thriller",nm4179560,"nm0171108,nm4179560",75000,8799,8799,tt3157318
Rock the Kasbah,"Comedy,Music,War",nm0001469,nm0322248,15000000,3020665,3386153,tt3164256
Alpha,"Drama,Horror,Mystery",nm3336924,"nm3336924,nm0645930,nm0759845,nm4231156",51000000,35851379,99624873,tt3166734
Room,"Drama,Thriller",nm1049433,nm1480980,13000000,14677674,36262783,tt3170832
The Diary of a Teenage Girl,"Comedy,Drama,Romance",nm1716636,"nm6390963,nm1716636",2000000,1477002,2279959,tt3172532
Silence,"Biography,Documentary",nm2442604,nm2442604,46500000,7100177,23726626,tt3181390
The Boy Next Door,"Horror,Thriller",nm0003418,nm3204152,4000000,36006065,53401938,tt3181822
Julia,Documentary,nm3555800,nm3555800,6000000,65108,1365108,tt3182348
Factory Girl,"Drama,Romance",nm0451262,nm1761114,7000000,1661464,1661464,tt3182596
Bitter Harvest,"Drama,Romance,War",nm0578899,"nm2271193,nm0578899",21000000,557241,606162,tt3182620
O Menino e o Mundo,"Adventure,Animation,Family",nm0994245,nm0994245,500000,129479,280967,tt3183630
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",nm0946734,nm0746830,180000000,234037575,802402853,tt3183660
Othello,Thriller,nm0471087,"nm5944572,nm3121574",11000000,2844379,2844379,tt3184312
Brooklyn,"Drama,Music,Musical",nm2018249,nm2018249,11000000,38322743,62076141,tt3184798
Silence,Drama,nm4013198,nm4013198,46500000,7100177,23726626,tt3194744
Fences,"Drama,Family",nm2371816,nm2371816,24000000,57682904,64282881,tt3197696
Barbecue,Comedy,nm0491708,"nm2131687,nm0491708",10000000,388,247565,tt3202120
Unhinged,Thriller,nm5370022,"nm5370022,nm5837156",29000000,0,0,tt3206146
Treading Water,Drama,nm3404419,nm3404419,4700000,0,0,tt3210578
Son of God,"Biography,Drama,History",nm0817895,"nm2589005,nm0817895,nm0841997,nm1646081",22000000,59700064,70949793,tt3210686
Western Religion,"Adventure,Drama,Fantasy",nm0639593,nm0639593,250000,0,0,tt3210710
I Am Wrath,"Action,Crime,Drama",nm0751080,"nm0310329,nm0806002",18000000,0,309608,tt3212232
Hostage,"Comedy,Drama,History",nm0638434,"nm0685546,nm0881636",75000000,34636443,77636443,tt3212738
Dreamcatcher,"Crime,Documentary,Drama",nm0519354,nm2340659,68000000,33685268,75685268,tt3215846
Incarnate,"Horror,Thriller",nm0679031,nm0159892,5000000,4799774,9371036,tt3216348
Inferno,Drama,nm1628186,nm1628186,75000000,34343574,219519367,tt3219106
Timeline,Romance,nm0632354,Missing writer data,80000000,19480739,26703184,tt3222720
La chambre bleue,"Crime,Romance,Thriller",nm0023832,"nm3498864,nm0023832,nm0799442",1400000,260441,1945420,tt3230082
Risen,"Action,Adventure,Drama",nm0721817,"nm0721817,nm2594149",20000000,36880033,46255763,tt3231054
Destiny,"Adventure,Comedy,Family",nm5932375,"nm5948338,nm5932375",750000,0,450,tt3231362
Road Trip,Horror,"nm4068684,nm5402584",nm5402584,16000000,68525609,119739110,tt3233610
It Follows,"Horror,Mystery",nm1379002,nm1379002,2000000,14674077,23250755,tt3235888
Survivor,"Action,Crime,Thriller",nm0574625,nm1909937,20000000,0,1703281,tt3247714
Upside Down,Documentary,nm6004519,"nm6004519,nm6004520",50000000,102118,26387039,tt3248078
The Watcher,Drama,nm5890398,nm5890398,33000000,28946615,47267829,tt3252624
The Bounce Back,"Comedy,Romance",nm0216459,"nm1226077,nm0216459,nm6043491",3000000,321910,421404,tt3253232
Waitress,Drama,nm6003309,nm6003311,1500000,19097550,22217183,tt3253430
Shorts,Drama,"nm4731845,nm3125410,nm0746932,nm2396167,nm4784536",Missing writer data,20000000,20919166,29870801,tt3257168
The Game,Drama,nm6014534,Missing writer data,50000000,48265581,80369970,tt3258802
The Watcher,Drama,nm5420177,nm5420177,33000000,28946615,47267829,tt3261880
Brotherly Love,Drama,nm2273232,nm2273232,1900000,478595,478595,tt3262990
Sully,"Biography,Drama",nm0000142,"nm0464548,nm3314810,nm5293055",60000000,125070033,238524556,tt3263904
She's the One,"Drama,Romance",nm0190389,"nm2259635,nm3663241,nm6243846,nm6243847",3500000,9482579,13795053,tt3264438
Hamlet,Drama,"nm5121831,nm3733470","nm0000636,nm4132839",18000000,4501094,7129670,tt3265782
Hamlet,Drama,"nm5121831,nm3733470","nm0000636,nm4132839",2000000,1577287,2419669,tt3265782
Captive,"Action,Crime,Drama",nm0417054,"nm0083349,nm2053278,nm8354080,nm3690965",2000000,2583301,2791973,tt3268668
Trapped,"Drama,Thriller",nm0787526,nm0787526,30000000,6916869,6916869,tt3269074
The Three Musketeers,Adventure,nm0955671,"nm0241416,nm0955671,nm1802936",90000000,20377913,139877913,tt3274666
Heist,"Action,Crime,Thriller",nm1470993,"nm1737241,nm2809844",35000000,23483357,28906817,tt3276924
Heist,"Action,Crime,Thriller",nm1470993,"nm1737241,nm2809844",8900000,50136,3324131,tt3276924
Creative Control,"Drama,Sci-Fi",nm2196568,"nm2562465,nm2196568",1000000,63014,63014,tt3277624
Redemption,"Drama,Mystery,Thriller",nm0189498,nm0189498,23000000,36686,13593473,tt3279418
Little Women,"Drama,Romance",nm1950086,"nm0017301,nm1950086",15000000,50003303,50003303,tt3281548
Domino,"Crime,Thriller",nm0000361,nm0803931,50000000,10169202,23574057,tt3282076
Simon,Thriller,nm5144203,nm5144203,1300000,4055,1738663,tt3283708
Hidden Away,"Drama,Romance",nm1843271,nm1843271,1000000,0,0,tt3289362
Home,"Documentary,History",nm6043242,nm6043242,130000000,177397510,385997896,tt3289416
Home,"Documentary,History",nm6043242,nm6043242,12000000,0,0,tt3289416
Home,"Documentary,History",nm6043242,nm6043242,500000,15433,44793168,tt3289416
Welcome to Marwen,"Biography,Comedy,Drama",nm0000709,"nm0000709,nm0003031",45000000,10763520,12874922,tt3289724
The Covenant,Musical,"nm6050979,nm6050978","nm6050979,nm6050978",20000000,23364784,38164784,tt3296724
Animals,Drama,nm3317950,nm2810287,5500000,0,0,tt3297554
Survivor,"Action,Adventure,Fantasy",nm1439346,nm1439346,20000000,0,1703281,tt3297792
The Revenant,Horror,nm5419512,"nm5419512,nm6053529,nm6053523,nm4866306,nm6053532",135000000,183637894,532938302,tt3300078
London Has Fallen,"Action,Thriller",nm0619836,"nm4950667,nm4951717,nm0345615,nm3203841,nm3466037",60000000,62524260,195194085,tt3300542
Stung,"Action,Adventure,Comedy",nm1379772,nm6054441,2500000,0,0,tt3300572
Obsessed,Drama,nm0453411,"nm7187607,nm0453411",20000000,68261644,73964713,tt3303730
Jackpot,"Comedy,Thriller",nm0004072,"nm0004072,nm3728294",400000,44452,44452,tt3309662
Control,"Crime,Documentary,Drama","nm3733224,nm4681053",Missing writer data,6400000,871577,8902141,tt3311168
Vessel,"Adventure,Biography,Documentary",nm1320437,Missing writer data,800000,0,0,tt3311588
Youth,"Comedy,Drama,Music",nm0815204,nm0815204,13000000,2703296,24001573,tt3312830
Coriolanus,"Drama,History,War",nm1229177,nm0000636,10000000,749641,2179623,tt3313066
War Horse,Drama,Missing director data,"nm4312900,nm0606190",70000000,79883359,156815529,tt3313072
Logan,"Action,Drama,Sci-Fi",nm0003506,"nm0003506,nm0291082,nm0338169,nm0739661,nm0859471,nm0918083,nm1079460,nm2092839,nm4022192",127000000,226277068,615461394,tt3315342
Split,"Drama,Fantasy",nm1380487,nm1380487,5000000,138141585,278964806,tt3315656
American Ultra,"Action,Comedy,Sci-Fi",nm1294036,nm0484840,28000000,14439985,30295028,tt3316948
Still Alice,Drama,"nm0922903,nm0322144","nm0322144,nm0922903,nm5581694",5000000,18656400,41699612,tt3316960
Emma,Thriller,nm8286012,"nm3990459,nm8286012,nm4392757",5900000,22231658,37831658,tt3319070
Regression,"Crime,Horror,Mystery",nm0024622,nm0024622,20000000,55039,15824374,tt3319920
Concussion,"Biography,Drama,Sport",nm1481618,"nm1481618,nm6543415",35000000,34531832,50363790,tt3322364
Annabelle,"Horror,Mystery,Thriller",nm0502954,nm2477891,6500000,84273813,256862920,tt3322940
War of the Worlds,Sci-Fi,nm5069917,"nm5069917,nm0920229",132000000,234280354,606836535,tt3327426
Pan,"Adventure,Comedy,Family",nm0942504,"nm0297229,nm0057381",150000000,35088320,151525973,tt3332064
Wolf,Documentary,nm2465833,nm2465833,70000000,65011757,131011757,tt3332132
Antibirth,Horror,nm3725167,nm3725167,2500000,0,0,tt3333870
Firestorm,"Action,Crime,Thriller",nm0950701,nm0950701,19000000,8123860,8123860,tt3341072
The Veil,"Action,Adventure,Sci-Fi",nm1649265,nm3796092,4000000,0,0,tt3343868
Zipper,"Drama,Thriller",nm1230603,"nm1230603,nm1229221",4500000,0,0,tt3346224
Jigsaw,"Crime,Horror,Mystery","nm1294962,nm1294961","nm0831457,nm1539257",10000000,38052832,102445196,tt3348730
Friend Request,"Horror,Thriller",nm0894207,"nm0050722,nm2279441,nm0894207",9900000,3759078,11310835,tt3352390
Stranded,Western,nm0213983,nm0437490,1900000,0,285593,tt3359872
Doc Holliday's Revenge,Western,nm0213983,nm0437490,1000000,0,0,tt3359872
Compadres,"Action,Comedy,Crime",nm1761722,"nm0674071,nm2239581,nm1761722",3000000,3127773,7445044,tt3367294
Max,"Adventure,Drama,Family",nm0945026,"nm0945026,nm0504802",20000000,42656255,43658157,tt3369806
Transformers: The Last Knight,"Action,Adventure,Sci-Fi",nm0000881,"nm1436466,nm0391344,nm0634307,nm0326040",217000000,130168683,602893340,tt3371366
Iron Man,"Comedy,Drama,Family",nm6124821,nm6124821,186000000,318604126,585171547,tt3375556
The Brothers Grimsby,"Action,Adventure,Comedy",nm0504642,"nm0056187,nm1601882,nm0063165",35000000,6864016,28720470,tt3381008
Legend,Horror,"nm1939415,nm1914394","nm5377301,nm1939415,nm1029283",25000000,15502112,23506237,tt3381068
Legend,Horror,"nm1939415,nm1914394","nm5377301,nm1939415,nm1029283",25000000,1872994,42425450,tt3381068
Breakdown,"Drama,Thriller",nm4244703,nm4244703,36000000,50159144,50159144,tt3381610
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",nm0001741,"nm1334526,nm0001741,nm1002424,nm0003529,nm0456158,nm0498278",178000000,155442489,542537546,tt3385516
Let There Be Light,"Biography,Documentary,Drama",nm6135473,Missing writer data,3000000,7233471,7241309,tt3386948
The Return,Documentary,nm0958368,Missing writer data,15000000,501752,5953886,tt3387284
The Forest,"Horror,Mystery,Thriller",nm4941030,"nm4528537,nm0180506,nm2406892",10000000,26594261,40749230,tt3387542
Night of the Living Dead,Horror,nm5209991,nm5209991,4200000,5835247,5835247,tt3393372
Night of the Living Dead,Horror,nm5209991,nm5209991,114000,12087064,30087064,tt3393372
Jack Reacher: Never Go Back,"Action,Thriller",nm0001880,"nm0921013,nm0001880,nm0380980,nm1676193",60000000,58697076,159946489,tt3393786
Red Sky,Thriller,nm5408720,nm5408720,25000000,0,91116,tt3396636
Sicario,"Action,Crime,Drama",nm0898288,nm0792263,30000000,46889293,84393749,tt3397884
Oddball,"Adventure,Family",nm0568018,nm2213279,7000000,0,10237229,tt3401748
Fist Fight,Comedy,nm0007193,"nm2448917,nm4105248,nm0339011",25000000,32187017,40286416,tt3401882
Murder on the Orient Express,"Crime,Drama,Mystery",nm0000110,"nm0338169,nm0002005",55000000,102826543,345922730,tt3402236
The Shadow,Documentary,nm2882362,nm2882362,40000000,31835600,31835600,tt3406032
Chemical Cut,Drama,nm3108764,nm3108764,1000000,0,0,tt3406296
Legend,"Biography,Documentary",nm6158186,nm6158186,25000000,15502112,23506237,tt3409352
Legend,"Biography,Documentary",nm6158186,nm6158186,25000000,1872994,42425450,tt3409352
Ferdinand,"Adventure,Animation,Comedy",nm0757858,"nm0047916,nm8758198,nm0178589,nm0120816,nm0452235,nm0722610,nm0494943,nm0493314",111000000,84410380,289847930,tt3411444
A Monster Calls,"Animation,Drama,Fantasy",nm1291105,"nm4710432,nm8435299",43000000,3740823,46414530,tt3416532
Ice Age: Collision Course,"Adventure,Animation,Comedy","nm0862211,nm1154886","nm5022110,nm0073850,nm3229505,nm0813289",105000000,64063008,402156682,tt3416828
Horse Camp,Family,nm1655252,nm1655252,250000,0,0,tt3421204
Beloved,Drama,nm6172455,nm6172455,53000000,22852487,22852487,tt3421854
Silence,"Drama,Thriller",nm1335378,Missing writer data,46500000,7100177,23726626,tt3425108
The House,Thriller,nm1823243,"nm1823243,nm6048464",40000000,25584504,31192425,tt3425402
Aberdeen,Family,nm1001051,nm1001051,6500000,64148,64148,tt3429014
Lake of Fire,"Drama,Family,Romance",nm3132860,nm5861816,6000000,25317,26007,tt3429692
The Messenger,"Drama,Mystery,Thriller",nm0004541,nm1183861,6500000,1109660,1744952,tt3431016
Addicted,"Documentary,Music",nm5356389,nm5356389,5000000,17390770,17499242,tt3435418
The Last Station,Documentary,"nm5538918,nm1886657",Missing writer data,18000000,6617867,15696146,tt3436064
The Kid,"Comedy,Drama,Family",nm1109435,nm1109435,65000000,69688384,69688384,tt3439758
The Perfect Match,"Biography,Documentary,Family",nm6194652,Missing writer data,5000000,9669521,10182050,tt3444696
Paul Blart: Mall Cop 2,"Action,Comedy,Crime",nm0275698,"nm0416673,nm0048169",38000000,71091594,107650646,tt3450650
War for the Planet of the Apes,"Action,Adventure,Drama",nm0716257,"nm0093560,nm0716257,nm0415425,nm0798646,nm0099541",152000000,146880162,489592267,tt3450958
10 Days in a Madhouse,Drama,nm0385725,nm0385725,12000000,14616,14616,tt3453052
The Gospel of John,Drama,nm2050347,Missing writer data,11000000,4068087,4234355,tt3454828
Happiness,"Documentary,Drama,Family",nm0050988,nm0050988,3000000,2746453,5746453,tt3458776
The Hateful Eight,"Crime,Drama,Mystery",nm0000233,nm0000233,62000000,54117416,147864886,tt3460252
Unforgettable,"Drama,Thriller",nm0224145,nm5429637,18000000,2483790,2483790,tt3462710
Unforgettable,"Drama,Thriller",nm0224145,nm5429637,12000000,11368012,16221211,tt3462710
The Lobster,"Comedy,Drama,Romance",nm0487166,"nm0487166,nm3328207",4500000,9196278,18019834,tt3464902
Despicable Me 3,"Adventure,Animation,Comedy","nm0049633,nm3210494,nm1853544","nm0666791,nm0202425",75000000,264624300,1034727750,tt3469046
Phantom,"Action,Drama,Thriller",nm1203138,"nm1583746,nm1203138,nm5151578,nm3613395",18000000,1034589,1199510,tt3469244
Z Storm,"Action,Crime",nm0482595,"nm0482595,nm1288953",7000000,0,2053330,tt3469440
Jack,Drama,nm0074163,"nm0074163,nm0611126",45000000,58617334,58617334,tt3469918
Sing,"Animation,Comedy,Family","nm2888554,nm1134029",nm1134029,75000000,270329045,634454789,tt3470600
The Gift,"Action,Drama,Thriller",nm0172718,"nm0172718,nm0573752,nm1512937",10000000,12008642,44567606,tt3474788
The Gift,"Action,Drama,Thriller",nm0172718,"nm0172718,nm0573752,nm1512937",5000000,43787265,58978477,tt3474788
Vice,"Action,Adventure,Sci-Fi",nm2357819,"nm1061002,nm0664920",60000000,47836282,70883171,tt3480796
Push,"Crime,Thriller",nm5674675,nm5919989,38000000,31811527,49678401,tt3481236
Pirates,"Action,Adventure,Comedy",nm2463304,nm3005626,40000000,1641825,6341825,tt3485166
The Nut Job 2: Nutty by Nature,"Adventure,Animation,Comedy",nm2117510,"nm0082839,nm2117510,nm1779809,nm0503259",40000000,28370522,57438389,tt3486626
Pound of Flesh,"Action,Thriller",nm0053228,nm2719674,7500000,0,0,tt3488328
The Walk,"Adventure,Biography,Drama",nm0000709,"nm0000709,nm1358613,nm0677597",35000000,10161183,61492104,tt3488710
Rust,"Horror,Thriller",nm5619726,nm5619726,250000,0,0,tt3490320
The Apostle,Drama,nm1614980,nm1614980,5000000,20733485,21277770,tt3493128
Captain America: Civil War,"Action,Adventure,Sci-Fi","nm0751577,nm0751648","nm1321655,nm1321656,nm0800209,nm0456158,nm2092839,nm4022192",250000000,408084349,1140069413,tt3498820
Race,"Biography,Drama,Sport",nm0394280,"nm1100123,nm3143608",5000000,19115191,23745772,tt3499096
The Walking Deceased,"Comedy,Horror",nm3438843,nm4333498,2000000,0,0,tt3499458
Thor: Ragnarok,"Action,Adventure,Comedy",nm0169806,"nm3069408,nm1219736,nm1236653,nm0498278,nm1293367,nm0456158,nm0657062,nm1277476,nm4160541",180000000,315058289,846980024,tt3501632
Housebound,"Comedy,Horror,Mystery",nm2067421,nm2067421,1500000,0,236863,tt3504048
Home,Documentary,nm0023481,nm0023481,130000000,177397510,385997896,tt3506448
Home,Documentary,nm0023481,nm0023481,12000000,0,0,tt3506448
Home,Documentary,nm0023481,nm0023481,500000,15433,44793168,tt3506448
The Golden Child,Drama,nm1739245,nm1739245,12000000,79817937,79817937,tt3506476
Another Year,"Drama,Romance",nm2294083,"nm0901668,nm3770347,nm6263533",8000000,3205706,20005613,tt3508808
See No Evil,Documentary,nm0701285,nm0701285,8000000,15032800,18828036,tt3508850
The Word,"Drama,Thriller",nm2038130,"nm2038130,nm3281319",200000,3648,3648,tt3509804
Close Range,"Action,Crime",nm0282708,"nm1720703,nm1360971",3000000,0,0,tt3511596
40 Weeks,Documentary,nm3521803,Missing writer data,900000,0,0,tt3513086
November,"Documentary,History",nm6271004,nm6271004,250000,191862,191862,tt3515578
12 Rounds,"Action,Drama,Romance",nm1217972,nm1217972,20000000,12234694,17306648,tt3517850
Earth,Sci-Fi,nm6274253,"nm6308134,nm6274253,nm4876392",47000000,32011576,116773317,tt3518372
The Disaster Artist,"Biography,Comedy,Drama",nm0290556,"nm2354099,nm2352210,nm0802995,nm2661978",10000000,21120616,28717667,tt3521126
Moana,"Adventure,Animation,Comedy","nm0166256,nm0930261,nm0615780,nm2320658","nm1158544,nm0166256,nm0615780,nm0930261,nm2320658,nm0962596,nm3764118,nm3764493",150000000,248757044,637517365,tt3521164
Mechanic: Resurrection,"Action,Adventure,Thriller",nm0304541,"nm0137573,nm1909937,nm1912600,nm0519154,nm4256393",40000000,21218403,109738840,tt3522806
Destiny,"Drama,Music,Romance",nm4154451,"nm6278639,nm4154451",750000,0,450,tt3523348
#Horror,"Crime,Drama,Horror",nm0836964,nm0836964,1500000,0,0,tt3526286
The Night Before,"Adventure,Comedy,Fantasy",nm1349522,"nm1349522,nm3773434,nm3782043,nm1698571",25000000,43035725,52427346,tt3530002
Nerve,"Action,Adventure,Crime","nm1160962,nm1413364","nm0789366,nm6290393",20000000,38583626,70652284,tt3531824
American Made,"Action,Biography,Comedy",nm0510731,nm0818889,50000000,51342000,135569212,tt3532216
Joe,Documentary,nm5933464,nm5933464,4000000,373375,373375,tt3532296
The Veil,Horror,nm0423333,nm0304830,4000000,0,0,tt3533916
The Visitor,"Adventure,Documentary,Drama",nm6301625,Missing writer data,4000000,9427026,19174817,tt3545626
Unnatural,"Action,Horror,Sci-Fi",nm1802040,"nm7219949,nm0138007",3000000,0,0,tt3551400
Whiskey Tango Foxtrot,"Biography,Comedy,Drama","nm0275629,nm0720135","nm1061622,nm5092324",35000000,23083334,25350747,tt3553442
Legend,"Action,Drama",nm2264823,"nm2375127,nm2264823",25000000,15502112,23506237,tt3555036
Legend,"Action,Drama",nm2264823,"nm2375127,nm2264823",25000000,1872994,42425450,tt3555036
Walter,"Documentary,Family,History",nm6315709,nm6315709,700000,0,0,tt3558672
Girls Trip,"Comedy,Drama",nm0002700,"nm1106214,nm1244069,nm2002824",28000000,115108515,140886353,tt3564472
UnDivided,Documentary,nm6321733,nm0580334,250000,0,0,tt3564748
Solitude,"Action,Comedy,Horror","nm4982748,nm5336423","nm6292117,nm5336423,nm4982748",200000,6260,6260,tt3565836
Vaalu,"Comedy,Romance",nm6324277,nm6324277,1900000,0,12444,tt3566698
The Other Side of the Door,Drama,nm3777641,nm3777641,5000000,3000342,12905107,tt3566920
The Visit,"Horror,Mystery,Thriller",nm0796117,nm0796117,5000000,65206105,98677816,tt3567288
Buried,Documentary,nm2409330,nm2409330,1987650,1044143,21270290,tt3568352
Legend,"Biography,Crime,Drama",nm0001338,"nm0001338,nm0669301",25000000,15502112,23506237,tt3569230
Legend,"Biography,Crime,Drama",nm0001338,"nm0001338,nm0669301",25000000,1872994,42425450,tt3569230
Not Cool,"Comedy,Drama,Romance",nm3507289,nm3111149,800000,35688,35688,tt3569356
Heaven's Gate,Documentary,nm5503111,"nm5503111,nm1465996",44000000,3484331,3484523,tt3570720
Bilal: A New Breed of Hero,"Action,Adventure,Animation","nm6735778,nm6336449","nm6336449,nm1532153,nm7698874,nm6735778,nm6336447",30000000,490973,648599,tt3576728
Perfect Cowboy,Drama,nm1210671,nm1210671,200000,0,0,tt3581098
West Side Story,"Crime,Drama,Musical",nm0000229,"nm1065785,nm0491306,nm0000636",6000000,43700000,43700000,tt3581652
Boomerang,"Drama,Romance",nm0269440,"nm0183686,nm4058200,nm0269440",42000000,70052444,131052444,tt3582040
Steel,"Drama,Mystery,Romance",nm1672027,"nm1672027,nm1928824",16000000,1686429,1686429,tt3588082
Monster,"Action,Drama,Thriller",nm1672163,Missing writer data,5000000,34469210,64240813,tt3589450
Emma,"Comedy,Drama,Romance",nm6352149,nm4369194,5900000,22231658,37831658,tt3591580
