movie,genres,directors,writers,production_budget,domestic_gross,worldwide_gross,tconst
Animal Kingdom,"Crime,Drama",nm2391575,nm2391575,4200000,1044039,8078683,tt1313092
3 Backyards,Drama,nm0578857,nm0578857,300000,39475,39475,tt1314190
Devil,"Horror,Mystery,Thriller",nm0235719,"nm0625198,nm0796117",10000000,33679655,63354114,tt1314655
There Be Dragons,"Biography,Drama,War",nm0423646,nm0423646,36000000,1069334,4020990,tt1316616
Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",nm1012501,"nm0415425,nm0798646,nm0099541",93000000,176760185,470986200,tt1318514
It's a Wonderful Afterlife,"Comedy,Drama,Fantasy",nm0149446,"nm0149446,nm0074488",10000000,0,1642939,tt1319716
The Last Exorcism,"Drama,Horror,Thriller",nm0821844,"nm1428204,nm0348640",1800000,41034350,70165900,tt1320244
The Expendables,"Action,Adventure,Thriller",nm0000230,"nm1709264,nm0000230",82000000,103068524,268268174,tt1320253
Gulliver's Travels,"Adventure,Comedy,Family",nm1224299,"nm0830294,nm0831557,nm0842605",112000000,42779261,232017848,tt1320261
The Reef,"Adventure,Drama,Horror",nm0871188,"nm0871188,nm0894683",10000000,0,15037867,tt1320291
Death at a Funeral,Comedy,nm0001438,nm1918877,21000000,42739347,48977233,tt1321509
Death at a Funeral,Comedy,nm0001438,nm1918877,20000000,8580428,46790428,tt1321509
Oldboy,"Action,Drama,Mystery",nm0000490,"nm1628380,nm2057405,nm0698873",3000000,707391,6239723,tt1321511
The Beaver,Drama,nm0000149,nm3189831,21000000,970816,5046038,tt1321860
The Lovers,"Action,Adventure,Romance",nm0423646,"nm0422568,nm0423646",35000000,0,53899,tt1321869
Gangster Squad,"Action,Crime,Drama",nm0281508,"nm3263825,nm4624299",60000000,46000903,104100903,tt1321870
August: Osage County,"Comedy,Drama",nm0920274,nm0504832,25000000,37738810,50738810,tt1322269
Going the Distance,"Comedy,Romance",nm0123379,nm3192484,32000000,17804299,43603990,tt1322312
Frozen,"Adventure,Drama,Sport",nm1697112,nm1697112,150000000,400738009,1272469910,tt1323045
Despicable Me,"Animation,Comedy,Family","nm1853544,nm0719208","nm0666791,nm0202425,nm0655053",69000000,251513985,543464573,tt1323594
The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",nm1720541,"nm0742279,nm2769412",68000000,300531751,706102828,tt1325004
The Lucky One,"Drama,Romance",nm0382956,"nm3391497,nm0817023",25000000,60457138,96633833,tt1327194
Something Wicked,"Drama,Horror,Mystery",nm0779011,"nm3205049,nm2302928",3000000,0,0,tt1327601
Cyrus,"Crime,Horror,Mystery",nm1067375,nm1067375,7000000,7468936,10062896,tt1327709
Lee Daniels' The Butler,"Biography,Drama",nm0200005,"nm0834960,nm1665973",30000000,116632095,177025498,tt1327773
Death Calls,"Action,Adventure,Mystery","nm0215522,nm0248373",nm0248373,290000,0,0,tt1328873
The Apostle,"Animation,Horror",nm2029797,nm2029797,5000000,20733485,21277770,tt1331294
Movie 43,Comedy,"nm2086105,nm1158962,nm2455747,nm0348181,nm0268380,nm0006969,nm0711840,nm0109359,nm0139867,nm0192090,nm0001162,nm1743387,nm0644022","nm2415313,nm2326580,nm0088546,nm3913565,nm2455747,nm3287345,nm3666380,nm5621285,nm5621400,nm5621376,nm0137800,nm1743387,nm2032481,nm1158962,nm0765563,nm1856892,nm0698119,nm0348181,nm0644022,nm2695453",10000000,8840453,31164747,tt1333125
Never Let Me Go,"Drama,Romance,Sci-Fi",nm0738796,"nm0410958,nm0307497",15000000,2434652,11173718,tt1334260
Arthur,"Comedy,Romance",nm0934864,"nm0063165,nm0330619",40000000,33035397,47787943,tt1334512
Bad Company,Thriller,nm1162500,"nm0358960,nm1162500",70000000,30157016,69157016,tt1334515
The Perfect Host,"Comedy,Crime,Thriller",nm1204442,"nm1204442,nm2032824",1000000,48764,51587,tt1334553
47 Ronin,"Action,Adventure,Drama",nm0727754,"nm0604555,nm0024925,nm1023578",175000000,38362475,151716815,tt1335975
Rock of Ages,"Comedy,Drama,Musical",nm0788202,"nm0857620,nm0195476,nm1615610",70000000,38518613,61031932,tt1336608
Cyrus,"Comedy,Drama,Romance","nm0243231,nm0243233","nm0243233,nm0243231",7000000,7468936,10062896,tt1336617
Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller",nm0019247,"nm2091799,nm1661186,nm0494170",21000000,24149393,81452811,tt1340800
Four Lions,"Comedy,Crime,Drama",nm0606439,"nm0606439,nm1095060,nm1104036,nm1006581",3750000,310007,2436111,tt1341167
Butterfly,"Horror,Thriller",nm1901367,nm1901367,250000,0,0,tt1342096
The Great Gatsby,"Drama,Romance",nm0525303,"nm0525303,nm0668902,nm0280234",190000000,144840419,351040419,tt1343092
The Great Gatsby,"Drama,Romance",nm0525303,"nm0525303,nm0668902,nm0280234",7000000,26533200,26533200,tt1343092
Dredd,"Action,Crime,Sci-Fi",nm0871428,"nm0905957,nm0264338,nm0307497",45000000,13414714,41467606,tt1343727
The Dark Knight Rises,"Action,Thriller",nm0634240,"nm0634300,nm0634240,nm0333060,nm0004170",275000000,448139099,1084439099,tt1345836
La navaja de Don Juan,"Comedy,Drama",nm2022197,nm2022197,1200000,4254,4254,tt1349485
Redemption,"Adventure,Drama,Romance",nm0821018,nm0821018,23000000,36686,13593473,tt1350546
Jack the Giant Slayer,"Adventure,Fantasy",nm0001741,"nm0501359,nm0003160,nm0836081,nm0229694",195000000,65187603,197687603,tt1351685
If I Stay,"Drama,Fantasy,Music",nm0191712,"nm0189272,nm3259208",11000000,50474843,78356170,tt1355630
The Infiltrator,"Biography,Crime,Drama",nm1026778,"nm5984688,nm2452397",47500000,15436808,20718104,tt1355631
Passengers,"Drama,Romance,Sci-Fi",nm0878763,nm3123612,110000000,100014699,302239672,tt1355644
Black Mass,"Biography,Crime,Drama",nm0178376,"nm3286851,nm0125336,nm3251662,nm3238883",53000000,62575678,98837872,tt1355683
Rust,Drama,nm0000929,nm0000929,250000,0,0,tt1360826
The Extra Man,Comedy,"nm0075849,nm0700301","nm0700301,nm0024718,nm0075849",7000000,453377,492108,tt1361313
Tomb Raider,"Action,Adventure,Fantasy",nm1012385,"nm4039044,nm3322414,nm2489193,nm1897248,nm2824501",90000000,58250803,273477501,tt1365519
Lowriders,"Adventure,Crime,Drama",nm1662693,"nm1990437,nm1854539",916000,6179955,6188421,tt1366338
The Sitter,Comedy,nm0337773,"nm2651299,nm0848966",25000000,30542576,38749404,tt1366344
The Cold Light of Day,"Action,Thriller",nm1333798,"nm0007045,nm2275309",20000000,3763583,25361206,tt1366365
Cloud Atlas,"Action,Drama,Mystery","nm0878756,nm0905152,nm0905154","nm3290967,nm0905154,nm0878756,nm0905152,nm4339295",102000000,27108272,130673154,tt1371111
Made in Dagenham,"Biography,Comedy,Drama",nm0170719,nm0412470,8000000,1095369,15644196,tt1371155
The Kid,Drama,nm0602941,"nm3330126,nm0602941,nm1623493",65000000,69688384,69688384,tt1371160
Coriolanus,"Drama,Thriller,War",nm0000146,"nm0517589,nm0000636",10000000,749641,2179623,tt1372686
Stranded,"Horror,Mystery","nm3425417,nm2053050","nm3425417,nm2053050",1900000,0,285593,tt1372689
The Awakening,"Horror,Thriller",nm0745395,"nm0745395,nm2566641",4900000,95933,6924321,tt1373405
Pride and Prejudice and Zombies,"Action,Comedy,Horror",nm0824882,"nm0824882,nm0000807,nm0334381",28000000,10907291,16638300,tt1374989
Upside Down,"Drama,Fantasy,Romance",nm0812626,"nm0812626,nm0024887,nm0536421",50000000,102118,26387039,tt1374992
Inception,"Action,Adventure,Sci-Fi",nm0634240,nm0634240,160000000,292576195,835524642,tt1375666
